内容,リンク
GoogleDrive（大元）,https://drive.google.com/drive/folders/1I2E6_xLhmRUptMfqn9ZTtxBwf9rtHO0U?usp=sharing
このデータを管理しているCSVファイル(編集することでwebページの更新が可能です。),https://drive.google.com/file/d/1EOl8INLQbA0SjG3zO9FZS0SdLMUmuCih/view?usp=sharing
マスターデータ(名簿etc),https://docs.google.com/spreadsheets/d/17SF0O7jM-BF1PLIv2TXPvxQ4JNWuknPU/edit?usp=sharing&ouid=112747670451289500712&rtpof=true&sd=true
2023会計,https://docs.google.com/spreadsheets/d/1I5u4RcGcmXmaVUyQhv4JGkKeM1xLardu/edit?usp=sharing&ouid=112747670451289500712&rtpof=true&sd=true
